Тип модели,Сферы применения,Метрики,Недостатки,Ресурсы,Примеры компаний,Формулы/Принцип
Линейная регрессия,"Прогнозирование цен, спроса","MSE, R²",Линейность предположений,Низкие,Walmart,y = β₀ + β₁x₁ + ... + βₙxₙ
Логистическая регрессия,Кредитный скоринг,"Accuracy, ROC-AUC",Не учитывает нелинейности,Низкие,Credit Suisse,p = 1 / (1 + e⁻ᵝ)
Случайный лес,Анализ рисков,"F1, OOB-ошибка",Медленная инференция,Средние,Airbnb,Ансамбль деревьев
Градиентный бустинг,Прогнозирование спроса,"AUC, Log Loss",Сложная настройка,Высокие,Uber,L(θ) + Ω(θ)
SVM,Классификация изображений,"Accuracy, Hinge Loss",Чувствительность к шуму,Средние,IBM,"max(0, 1 - y_i(wx_i + b))"
Нейронные сети (DNN),Распознавание речи,"BLEU, Perplexity",Требует много данных,Очень высокие,Google,y = f(Wx + b)
Two-Tower модели,Рекомендации,"Recall@k, NDCG",Синхронизация эмбеддингов,Высокие (GPU),YouTube,"Score(u,i) = Embedding_u · Embedding_i"
"Трансформеры (BERT, GPT)",Генерация текста,"ROUGE, BLEU",Высокие затраты,Очень высокие,OpenAI,"Attention(Q,K,V)"
Кластеризация (K-means),Сегментация пользователей,Silhouette Score,Зависит от центроидов,Низкие,Amazon,argmin Σ‖x - μ‖²
Рекомендательные системы,Персонализация контента,"RMSE, Precision@k",Холодный старт,Средние,Spotify,r̂_ui = p_u · q_i
