Unique_ID,URL,Date_scraped,Headline,Body
1,https://www.bbc.co.uk/news/articles/cz9y4exj822o,2025-05-29 00:40:27,"Elon Musk leaves White House but says Doge will continue,","Elon Musk has said he is leaving the Trump administration after helping lead a tumultuous drive to shrink the size of US government that saw thousands of federal jobs axed.
In a post on his social media platform X, the world's richest man thanked Trump for the opportunity to help run the Department of Government Efficiency, known as Doge. 
The White House began ""offboarding"" Musk as a special government employee on Wednesday night, the BBC understands.
His role was temporary and his exit is not unexpected, but it comes a day after Musk criticised the legislative centrepiece of Trump's agenda.
""As my scheduled time as a Special Government Employee comes to an end, I would like to thank President @realDonaldTrump for the opportunity to reduce wasteful spending,"" Musk wrote on X. 
""The @DOGE mission will only strengthen over time as it becomes a way of life throughout the government.""
The South African-born tech tycoon had been designated as a ""special government employee"" - allowing him to work a federal job for 130 days each year. 
What is Doge and why is Musk leaving?
How much has Elon Musk's Doge cut?
Who is Musk and what is his net worth?
Measured from Trump's inauguration on 20 January, he would hit that limit towards the end of May.  
But his departure comes a day after he said he was ""disappointed"" with Trump's budget bill, which proposes multi-trillion dollar tax breaks and a boost to defence spending. 
The SpaceX and Tesla boss said in an interview with BBC's US partner CBS that the ""big, beautiful bill"", as Trump calls it, would increase the federal deficit.
Musk also said he thought it ""undermines the work"" of Doge. 
""I think a bill can be big or it could be beautiful,"" Musk said. ""But I don't know if it could be both.""
Musk, who had clashed in private with some Trump cabinet-level officials, initially pledged to cut ""at least $2 trillion"" from the federal government budget, before halving this target, then reducing it to $150bn.
An estimated 260,000 out of the 2.3 million-strong federal civilian workforce have had their jobs cut or accepted redundancy deals as a result of Doge.
In some cases, federal judges blocked the mass firings and ordered terminated employees to be reinstated.
The rapid-fire approach to cutting the federal workforce occasionally led to some workers mistakenly being let go, including staff at the US nuclear programme.
Musk announced in late April that he would step back to run his companies again after becoming a lightning rod for criticism of Trump's efforts to shake up Washington.
""Doge is just becoming the whipping boy for everything,"" Musk told the Washington Post in Texas on Tuesday ahead of a Space X launch.
""Something bad would happen anywhere, and we would get blamed for it even if we had nothing to do with it.""
Musk's time in government overlapped with a significant decline in sales at his electric car company. 
Tesla sales dropped by 13% in the first three months of this year, the largest drop in deliveries in its history.
The company's stock price also tumbled by as much as 45%, but has mostly rebounded and is only down 10%.
Tesla recently warned investors that the financial pain could continue, declining to offer a growth forecast while saying ""changing political sentiment"" could meaningfully hurt demand for the vehicles.
Musk told investors on an earnings call last month that the time he allocates to Doge ""will drop significantly"" and that he would be ""allocating far more of my time to Tesla"".
Activists have called for Tesla boycotts, staging protests outside Tesla dealerships, and vandalising the vehicles and charging stations.
The Tesla blowback became so violent and widespread that US Attorney General Pam Bondi warned her office would treat acts of vandalism as ""domestic terrorism"".
Speaking at an economic forum in Doha, Qatar, on Tuesday, Musk said he was committed to being the leader of Tesla for the next five years. 
He said earlier this month he would cut back his political donations after spending nearly $300m to back Trump's presidential campaign and other Republicans last year."
2,https://www.bbc.co.uk/news/articles/cj93yvr3n1xo,2025-05-29 08:25:01,"Mother who sold six-year-old daughter given life term in South Africa,","The court heard that on the day Joshlin Smith disappeared she did not go to school because she did not have a clean uniform
A South African woman convicted of kidnapping and trafficking her six-year-old daughter has been sentenced to life in prison, along with her two accomplices.
The jail terms for Racquel ""Kelly"" Smith, her boyfriend Jacquen Appollis and their friend Steveno van Rhyn come more than a year after Joshlin Smith mysteriously disappeared outside her home in Saldanha Bay, near Cape Town.
Despite a highly publicised search for the girl, who vanished in February 2024, she is yet to be found.
South African prosecutors say she was sold into slavery however this was not definitively proven during the trial.
It is believed that Smith, who was addicted to drugs, needed the money.
The sentencing follows an eight-week trial that captivated South Africa, with witnesses and prosecutors making a number of shocking allegations.
Judge Nathan Erasmus said he ""drew no distinction"" between the trio in handing down the sentences. 
""On the human trafficking charge, you are sentenced to life imprisonment. On the kidnapping charge, you are sentenced to 10 years imprisonment,"" he said to loud applause in the courtroom. 
Kelly Smith refused to testify in the six-week trial
Judge Erasmus took over an hour to deliver the sentence and was measured as he gave a brief summary of the case and highlighted points that stood out during the trial.
He rebuked the trio, especially Van Rhyn and Smith, saying they showed no remorse for their actions.
""There is nothing that I can find that is redeeming or deserving of a lesser sentence,"" he said.
He also spoke of the impact their conduct had on the community of Middelpos, where the girl lived, saying it had left residents ""fractured"".
Smith, 35, and her accomplices showed no emotion as their sentences were read out in the community centre in Saldanha where the trial was held to allow residents to attend proceedings.
Tears and heartbreak over tragic story of Joshlin Smith
South Africa police target gang kidnapping women in shopping centres
Police said the search for the little girl would continue, even beyond South Africa's borders.
""We will not rest until we find [out] what happened to Joshlin. We are continuing day and night looking for her,"" Western Cape police commissioner Thembisile Patekile told local media.
The National Prosecuting Authority (NPA) welcomed the sentence and lauded the work of its team in proving that Joshlin was ""sold [and] delivered to the intended buyer"" for the purpose of ""exploitation, namely slavery or practices similar to slavery"".
During the trial, the identity of the ""intended buyer"" was never revealed.
The BBC asked the NPA for further details, however a spokesperson was unable to provide any.
Emotions were high ahead of the sentencing, with angry community members saying the trio should get a ""harsh sentence because they deserve it"".
Joshlin's grandmother has said she does not feel that any sentence can bring back her granddaughter
Ahead of sentencing, Joshlin's grandmother, Amanda Smith-Daniels, once again pleaded with her daughter to ""bring my [grand]child back or tell me where she is"".
""I don't feel that any sentence they get will bring my grandchild back,"" she told local broadcaster Newzroom Afrika.
Ms Smith-Daniels said that Joshlin's disappearance had left her family ""broken"". 
She urged her daughter to stop blaming others for her misfortune as she ""was the person that did the deed"".
During the trial, the court heard testimonies from more than 30 witnesses, who painted a picture of the young girl's troubled life and subsequent disappearance. 
Kelly Smith and her accomplices refused to testify or call any witnesses for their defence.
The most explosive came from Lourentia Lombaard, a friend and neighbour of Smith who turned state witness.
Ms Lombaard alleged that Smith told her she had done ""something silly"" and sold Joshlin to a traditional healer, known in South Africa as a ""sangoma"".
The ""person who [allegedly took] Joshlin wanted her for her eyes and skin"", Ms Lombaard told the court.
A local pastor testified that in 2023, he had heard Smith - a mother of three - talk of selling her children for 20,000 rand ($1,100; Â£850) each, though she had said she was willing to accept a lower figure of $275.
Joshlin's teacher then alleged in court that Smith had told her during the search that her daughter was already ""on a ship, inside a container, and they were on the way to West Africa"".
It was the testimonies of Ms Lombard and the clergyman that were key to securing a conviction.
During sentencing hearings, Smith was described as manipulative and someone who told ""bald-faced lies"". A social worker appointed to compile a report on Smith and her accomplices, went so far as to say it would not be a ""stretch to conclude that [Kelly] Smith is the mastermind behind the trafficking of her own daughter"".
The court also heard powerful statements from those who knew Joshlin about the devastating effect of her disappearance on the community.
Joshlin Smith's disappearance spreads fear in South Africa's Saldhana Bay
'The selfie that revealed I was a stolen baby'"
3,https://www.bbc.co.uk/news/articles/cgle6gg9z6yo,2025-05-29 14:17:04,"Turkey to fine airline passengers who stand up before plane stops,","The Turkish civil aviation authority says it made the changes after receiving complaints from passengers
Airline passengers to Turkey will be fined if they stand up before the seatbelt sign turns off after landing, regulators have said.
The Turkish civil aviation authority said it imposed the order after receiving complaints from passengers. The rules came into effect earlier this month. 
Turkish media reports say fines will be about about US$70 (Â£50), although no amount is mentioned in the authority's guidance. 
The authority warned that there was a ""serious increase"" in such incidents, with many complaints about passengers grabbing overhead baggage before the plane has been parked.
Turkey is a destination for tens of millions of tourists every year.
The aviation authority said commercial airlines must now issue an in-flight announcement and report those who do not follow orders.
Passengers must be told to keep their seatbelts locked, and refrain from standing and opening overhead lockers until the seatbelt sign is off. 
Those who do not follow these rules must be reported to the authority, it says. 
Turkish Airlines, the national carrier, has updated its landing announcement, according to Euronews. 
""Passengers who do not comply with the rules will be reported to the Directorate General of Civil Aviation through a Disruptive Passenger Report, and an administrative fine will be imposed in accordance with the applicable legal regulations,"" the airline says upon landing, according to the TV network. 
The BBC has contacted the airline for comment."
4,https://www.bbc.co.uk/news/articles/c0mrpl2208no,2025-05-29 15:25:04,"French MPs vote to scrap low-emission zones,","The low-emission zones are credited with reducing air pollution in Paris
France's National Assembly has voted to abolish low-emission zones, a key measure introduced during President Emmanuel Macron's first term to reduce city pollution.
So-called ZFEs (zones Ã  faibles Ã©missions) have been criticised for hitting those who cannot afford less-polluting vehicles the hardest.
A handful of MPs from Macron's party joined opposition parties from the right and far right in voting 98-51 to scrap the zones, which have gradually been extended across French cities since 2019.
The motion was put forward by Pierre Meurin of the far-right National Rally, and backed by some motoring organisations.
But it was a personal victory for writer Alexandre Jardin who set up a movement called Les #Gueux (Beggars), arguing that ""ecology has turned into a sport for the rich"".
""Everyone played their part in the vote. The MPs voted either for the end of this nightmare, or they abstained,"" he told Le Figaro newspaper.
""They were afraid of going back to their constituencies if they had voted against the abolition of the ZFEs.""
The low-emission zones began with 15 of France's most polluted cities in 2019 and by the start of this year had been extended to every urban area with a population of more than 150,000, with a ban on cars registered before 1997.
Those produced after 1997 need a round ""Crit'Air"" sticker to drive in low-emission zones, and there are six categories that correspond to various types of vehicle.
The biggest restrictions have been applied in the most polluted cities, Paris and Lyon, as well as Montpellier and Grenoble.
Alexandre Jardin has led a campaign to fight the low-emission zones in France 
They have turned into something of a lightning rod for Macron's opponents. 
Marine Le Pen condemned the ZFEs as ""no-rights zones"" during her presidential campaign for National Rally in 2022, and her Communist counterpart warned of a ""social bomb"".
The head of the right-wing Republicans in the Assembly, Laurent Wauquiez, talked of ""freeing the French from stifling, punitive ecology"", and on the far left, ClÃ©mence GuettÃ© said green policies should not be imposed ""on the backs of the working classes"".
The government tried to head off Wednesday night's revolt by watering down the restrictions, but also preserving the zones in Paris and Lyon. This amendment was defeated by a large margin.
AgnÃ¨s Pannier-Runacher, the minister for green transition, told MPs that ""air pollution is behind almost 40,000 premature deaths a year... and the low-emission zones have helped bring down [that number]"".
The Greens and Socialists also voted to maintain the zones. 
Green Senator Anne Souyris told BFMTV that ""killing [the ZFEs] also means killing hundreds of thousands of people"" and Socialist MP GÃ©rard Leseul said the vote sent a negative signal as it did not address the reduction that had to be made to levels of air pollution.
The abolition is expected to go through the upper house, France's Senate, but it still needs to be approved in a broader bill in the lower house in June and will have to be approved by France's Constitutional Council, which is not guaranteed."
5,https://www.bbc.co.uk/news/articles/cm238175gzyo,2025-05-29 11:07:02,"Chinese paraglider survives accidental 8,000m-high flight,","A Chinese paraglider has survived being accidentally propelled 8,500m (27,800ft) into the sky above north-west China, state media report. 
Peng Yujiang, 55, was testing new equipment at 3,000m above sea level, over the Qilian mountains, when a rare updraft or air current known as a ""cloud suck"" pulled him about 5,000m higher into a cloud formation.
Saturday's events were filmed on a camera that was mounted on Mr Peng's glider and the footage has gone viral after being posted on Douyin, China's version of TikTok.
It showed Mr Peng holding on to the glider's controls, with his face and much of his body covered in ice crystals.
""It was terrifying... Everything was white. I couldn't see any direction. Without the compass, I wouldn't have known which way I was going. I thought I was flying straight, but in reality, I was spinning,"" he told China Media Group.
Mr Peng narrowly survived death as oxygen is thin at that altitude - slightly lower than the 8,849m peak of Mount Everest. Temperatures can also fall to -40C.
""I wanted to come down quickly, but I just couldn't. I was lifted higher and higher until I was inside the cloud,"" he said.
Mr Peng, who has been paragliding for four and a half years, said he might have lost consciousness during his descent. 
He added that the most frightening part of his ordeal was trying to regain control of the glider as it spiralled in the air.
Chinese authorities are investigating the incident and Mr Peng has been suspended for six months because the flight was unauthorised, state-run Global Times reported.
Mr Peng had no intention to fly that day and was only testing the fit and comfort of his parachute on the ground, Global Times said.
However, strong winds lifted him off the ground and grew even stronger, until he encountered the updraft that shot him up into the clouds."
6,https://www.bbc.co.uk/news/articles/c0qg5z4lkj0o,2025-05-29 00:03:45,"Gaza warehouse broken into by 'hordes of hungry people', says WFP","The UN's World Food Programme (WFP) says that ""hordes of hungry people"" have broken into a food supply warehouse in central Gaza.
Two people are reported to have died and several others injured in the incident, the programme said, adding that it was still confirming details.
Footage showed thousands of people breaking into the Al-Ghafari warehouse in Deir Al-Balah and taking bags of flour and cartons of food as gunshots rang out. It was not immediately clear where the gunshots came from or who fired them. 
In a statement, the WFP said humanitarian needs in Gaza had ""spiralled out of control"" after an almost three-month Israeli blockade that was eased last week.
The WFP said that food supplies had been pre-positioned at the warehouse for distribution.
The programme added: ""Gaza needs an immediate scale-up of food assistance. This is the only way to reassure people that they will not starve.""
The WFP said it had ""consistently warned of alarming and deteriorating conditions on the ground, and the risks imposed by limiting humanitarian aid to hungry people in desperate need of assistance"". 
Israeli authorities said on Wednesday that 121 trucks belonging to the UN and the international community carrying humanitarian aid including flour and food were transferred into Gaza.
Israel began to allow a limited amount of aid into Gaza last week. However, UN Middle East envoy Sigrid Kaag told the UN Security Council this was ""comparable to a lifeboat after the ship has sunk"" when everyone in Gaza was facing the risk of famine.
A controversial US and Israeli-backed group - the Gaza Humanitarian Foundation (GHF) - was also established as a private aid distribution system. It uses US security contractors and bypasses the UN, which said it was unworkable and unethical.
The US and Israeli governments say the GHF, which has set up four distribution centres in southern and central Gaza, is preventing aid from being stolen by Hamas, which the armed group denies doing.
Large numbers of hungry people living in tents along the coast of Gaza have been going to the GHF distribution centres for food.
The UN Humans Right Office said 47 people were injured on Tuesday after people overran one of the GHF distribution sites in the southern city of Rafah, a day after it began working there.
Another senior UN official told journalists on Wednesday that desperate crowds were looting cargo off of UN aid trucks.
Jonathan Whittall, the head of the UN's humanitarian office for the occupied Palestinian territories, also said there was no evidence that Hamas was diverting aid coordinated through credible humanitarian channels.
He said the real theft of relief goods since the beginning of the war had been carried out by criminal gangs which the Israeli army ""allowed to operate in proximity to the Kerem Shalom crossing point in Gaza"".
The UN has argued that a surge of aid like the one during the recent ceasefire between Israeli and Hamas would reduce the threat of looting by hungry people and allow it to make full use of its well-established network of distribution across the Gaza Strip.
Israel's ambassador to the UN, Danny Danon, said the UN was behaving in a ""mafia-like"" way and accused it of threatening aid agencies working with the GHF. 
The UN has said Israeli's new aid distribution system in Gaza is ""essentially engineered scarcity"", adding that it operates only in the south of the territory when most of the population is in the north."
7,https://www.bbc.co.uk/news/articles/c5yx2lynznpo,2025-05-29 12:41:41,"Haribo recalls bags of sweets in Netherlands after cannabis found,","A family reported feeling unwell after eating their sweets
Haribo is recalling packets of sweets in the Netherlands after some were found to contain traces of cannabis.
Several people, including multiple members of one family, reported feeling unwell after eating from a 1kg pack of Haribo Happy Cola F!ZZ.
A spokesperson for the food safety body in the Netherlands (NVWA) said some had reported ""dizziness"" after eating the sweets. The agency told Dutch broadcaster SBS6, external that ""samples were taken and cannabis was found in them"".
A Haribo spokesperson told the BBC it was working with police to ""establish the facts around the contamination"". 
NVWA said three packs were found to be contaminated, but Haribo is recalling its entire stock as a precaution.
The bags in question have a best-before date of January 2026.
It is not clear how many people have become unwell. 
NVWA said police were investigating how cannabis ended up in the sweets, Dutch media report.
The agency said there were bags in circulation that ""can lead to health complaints, such as dizziness, when consumed"".
""Do not eat the sweets,"" the statement added.
It is not clear whether the contaminated products are genuine Haribo bags or fake.
Haribo said the safety of its consumers was its highest priority, adding that it was taking the incident ""very seriously"". 
The confectionery giant said the recall was only in place in the Netherlands, with other regions unaffected. 
All other products are safe to consume, the company says."
8,https://www.bbc.co.uk/news/articles/clyn3vqex47o,2025-05-29 00:22:11,"Trump appears to set Putin 'two-week' deadline on Ukraine,","Trump said they would find out in two weeks whether or not Putin was ""tapping us along""
US President Donald Trump has appeared to set a two-week deadline for Vladimir Putin, threatening a different response if the Russian counterpart was still stringing him along.
As the Kremlin escalated its attacks on Ukraine, Trump was asked in the Oval Office on Wednesday if he thought Putin wanted to end the war. 
""I can't tell you that, but I'll let you know in about two weeks,"" Trump told reporters, the latest amid a string of critical public remarks made by Trump about Putin. 
Since Sunday, Trump has written multiple posts on social media saying that Putin has gone ""absolutely crazy"" and is ""playing with fire"" after Russia intensified its attacks on Ukraine.
The bombardments by Russia are said to have been some of the largest and deadliest attacks since the start of the war, now in its fourth year.
Russian strikes in Kyiv, Ukraine's capital, killed at least 13 people and injured dozens more, including children, over the weekend. 
And by Wednesday, the attacks had shown no signs of slowing down.
In Trump's remarks about the escalation of violence and whether he thinks Putin is serious about ending the war, Trump said: ""I'll let you know in about two weeks.
""Within two weeks. We're gonna find out whether or not (Putin is) tapping us along or not. 
""And if he is, we'll respond a little bit differently.""  
The comments are a sign of Trump's growing frustration, as the White House's repeated efforts to negotiate a deal between Russia and Ukraine appear ever more futile.
This includes a recent two-hour phone call between Trump and Putin, after which the US president said the discussions went ""very well"". 
Putin walked away from the call saying he was ready to work with Ukraine on a ""memorandum on a possible future peace agreement"".
That call was one week before Russia launched hundreds of drones and dozens of missiles towards Ukraine's capital, according to Ukraine's air force. 
And a memorandum has yet to be produced by Russia.
So far, Trump's threats have not appeared to concern Moscow sufficiently for it to accede to his demands. Trump has not delivered on previous such threats.
Since taking office, Trump has only taken action against Ukraine, as Washington  sought to steer the countries to Trump's demand for a truce. 
This included an eight-day suspension of US military assistance and intelligence sharing with Kyiv in March. 
Meanwhile the US administration has not publicly demanded any significant concessions from Russia.
The White House rejects accusations of appeasing Moscow or failing to enforce its will, pointing out that all the Biden-era sanctions remain in force against Russia. 
But so far its mediation approach appears to have made the Kremlin more, not less, empowered. 
After the latest attacks, Trump wrote on Truth Social that ""something has happened"" to Putin, which the Kremlin said were comments made ""connected to an emotional overload"". 
Russia's attacks on Ukraine continued in the days afterwards. Trump then escalated his criticism. On Tuesday, he said Putin was ""playing with fire"" and that ""lots of bad things"" would have happened to Russia if it were not for Trump's involvement.
A Kremlin aid responded to the latest Trump Truth Social post by saying: ""We have come to the conclusion that Trump is not sufficiently informed about what is really happening.""
Putin aide Yury Ushakov told Russian state TV channel Russia-1 that Trump must be unaware of ""the increasingly frequent massive terrorist attacks Ukraine is carrying out against peaceful Russian cities.""
On Wednesday, Germany's new chancellor, Friedrich Merz, told Ukraine's Volodymyr Zelensky that Berlin will help Kyiv produce long-range missiles to defend itself from Russian attack.
The Kremlin has warned that any decision to end range restrictions on the missiles that Ukraine can use would be a dangerous change in policy that would harm efforts to reach a political deal.
In the face of Russia's recalcitrance, Trump has frequently softened his demands, shifting the emphasis from his original call for an immediate 30-day ceasefire, to which only Ukraine agreed, to more recently demanding a summit with Putin to get what he says would be a breakthrough. 
Putin and his foreign minister Sergei Lavrov have upped their demands from earlier positions since the US restored contacts with the Russians in February. 
These have included a demand that Ukraine cede parts of its own country not even occupied by Russia and that the US recognises Crimea as a formal part of Russia. 
Michael McFaul, a former US ambassador to Moscow, calls this a ""poison pill"" introduced by Russia: Creating conditions Kyiv could never agree to in order to shift blame onto Ukraine in Trump's eyes.
The war has claimed tens of thousands of lives and left much of Ukraine's east and south in ruins. Moscow controls roughly one-fifth of the country's territory, including Crimea, which it annexed in 2014.
Zelensky has accused Moscow of delaying the peace process and said they were yet to deliver a promised memorandum of peace terms following talks in Istanbul. Peskov insisted the document was in its ""final stages."""
9,https://www.bbc.co.uk/news/articles/cp3q9v1v24ko,2025-05-29 14:23:20,"Paedophile surgeon's sentence leaves victims appalled,","A banner made up of hundreds of sheets of paper to represent Le Scouarnec's victims was unfurled near the courthouse in Vannes on Wendesday
The victims of prolific French paedophile Joel Le Scouarnec have expressed their dismay that the former surgeon's 20-year prison sentence does not include preventive detention - meaning he could be released from jail in the early 2030s.
The 74-year-old was found guilty on Tuesday of sexually abusing hundreds of people, most of them underage patients of his, over decades. 
Over the course of the trial he had confessed to committing 111 rapes and 188 sexual assaults, and was sentenced to the maximum of 20 years in jail. 
Prosecutors - who dubbed Le Scouarnec ""a devil in a white coat"" - had asked the court to take the extremely rare provision to hold him in a centre for treatment and supervision even after release, called preventive detention.
The judge rejected this demand, arguing Le Scouarnec's age and his ""desire to make amends"" had been taken into account.
Le Scouarnec will have to serve two-thirds of his sentence before being eligible for parole. 
But because he has already served seven years due to a previous conviction for the rape and sexual assault of four children, he may be eligible for parole by 2032.
His lawyer, Maxime Tessier, pointed out that saying Le Scouarnec could be released then was ""inaccurate"", as parole is not tantamout a release.
Now, his victims - many of whom assiduously attended the three-month-long trial in Vannes, northern France - are lamenting the sentence. 
""For a robbery you risk 30 years. But the punishment for hundreds of child rapes is lighter?"" one victim told Le Monde. 
The president of a child advocacy group, SolÃ¨ne Podevin Favre, said that she might have expected the verdict ""to be less lenient"" and to include a post-sentence preventive detention.
""It's the maximum sentence, certainly,"" she said. ""But it's the least we could have hoped for. Yet in six years, he could potentially be released. It's staggering.""
Marie Grimaud, one of the lawyers representing the victims, told reporters that while she ""intellectually"" understood the verdict, ""symbolically"" she could not.
Le Scouarnec, a former surgeon, admitted to all the charges against him
Another lawyer, Francesca Satta, said that she felt 20 years was too short a time given the number of victims in the case. 
""It is time for the law to change so we can have more appropriate sentences,"" she argued.
But in her judgement read out to the court, Judge Aude BurÃ©si said that, while the court had ""heard perfectly the demands from the plaintiffs that Le Scouarnec should never be released from jail, it would be demagogic and fanciful to let them believe that would be possible"".
""In fact,"" she added, ""the rule of law does not allow for that to happen.""
One of Le Scouarnec's victims, AmÃ©lie LÃ©vÃªque, said the verdict had ""shocked"" her and that she would have liked preventive detention to be imposed. ""How many victims would it take? A thousand?""
She argued that French law needed to change and allow for harsher sentences to take into account the serial nature of crimes. 
Similar complaints were raised in the aftermath of the Pelicot trial last December, in which Dominique Pelicot was found guilty of drugging and raping his wife, GisÃ¨le, and recruited dozens of men to abuse her over almost a decade. 
Pelicot, too, was sentenced to 20 years - the maximum sentence for rape in French law - with the obligation to serve a minimum of two-thirds in jail.
His case, however, will have to be re-examined at the end of the prison sentence before the question of preventive detention can be explored. 
In France, sentences are not served consecutively. Public prosecutor StÃ©phane Kellenberger noted last week that had Le Scouarnec been on trial in the US - where people serve one prison sentence after another - he may have faced a sentence of over 4,000 years. 
But CÃ©cile de Oliveira, one of the victims' lawyers, praised the sentence, which she said had been ""finely tailored"" to Le Scouarnec's ""psychiatric condition"". 
She agreed with the court's decision not to impose preventive detention on the former surgeon, adding: ""It needs to remain an entirely exceptional punishment.""
After the verdict was read out, victims, journalists and lawyers mingled outside the courthouse in Vannes. Many of the civil parties and their relatives, angered by the verdict, brought their frustration to the media. 
""All that I ask for is that this man cannot offend again,"" the mother of a victim told French outlets. 
""If this kind of behaviour needs to entail a life sentence, so be it."""
10,https://www.bbc.co.uk/news/articles/c4g7kl8y107o,2025-05-29 08:44:41,"Smokey Robinson files $500m case against rape accusers,","The singer's lawsuit calls the allegations ""false and extremely damaging""
Motown legend Smokey Robinson has filed a $500m (Â£370m) defamation lawsuit against four former housekeepers who have accused the singer of sexual assault.
The legal case filed by the star and his wife Frances on Wednesday in California accused the women of fabricating the sexual assault allegations as part of an ""extortionate"" lawsuit.
The Robinsons say the alleged victims, who filed their case anonomously, went on family holidays with the couple and celebrated holidays together.
The singer, who is now also under criminal investigation in Los Angeles over accusations of sexual assault, has denied all  the allegations, and his lawyer said those behind the accusations were after his money.
Mr Robinson's lawyers also filed a motion to dismiss the women's lawsuit, arguing they should not have been granted anonymity.
""The Robinsons did not abuse, harm, or take advantage of plaintiffs; they treated plaintiffs with the utmost kindness and generosity,"" the lawsuit states.
The women filed the lawsuit in Los Angeles Superior Court on 6 May under the pseudonyms Jane Doe 1, 2, 3 and 4.
In the 27-page legal action, they alleged several incidents that they said dated back to 2006, and accused Mr Robinson of pressuring them into sex.
All four women, who are of Hispanic descent, said they had not come forward until now because they feared losing their livelihoods, familial reprisal or embarrassment. Some were concerned the allegations could affect their immigration status.
They are seeking at least $50m (Â£38m) in damages and a jury trial.
The Los Angeles County Sheriff's Department then opened its investigation, which the 85-year-old singer said at the time he welcomed ""because exposure to the truth is a powerful thing"".
Mr Robinson was Motown's first hitmaker, writing number one records like Mary Wells' My Guy and The Temptations' My Girl.
He was both a talent scout for the record label and one of its most prominent recording artists in his own right, known for songs like Tracks of My Tears, Shop Around and Tears of a Clown.
He has spots in both the Rock & Roll Hall of Fame and the Songwriters Hall of Fame, and claims to have credits on more than 4,000 songs."
